"title","category_name","release_year"
"Alice Fantasia","Classics",2006
"Arizona Bang","Classics",2006
"Beast Hunchback","Classics",2006
"Bound Cheaper","Classics",2006
"Candidate Perdition","Classics",2006
"Center Dinosaur","Classics",2006
"Color Philadelphia","Classics",2006
"Conspiracy Spirit","Classics",2006
"Core Suit","Classics",2006
"Creepers Kane","Classics",2006
"Cruelty Unforgiven","Classics",2006
"Detective Vision","Classics",2006
"Dracula Crystal","Classics",2006
"Dynamite Tarzan","Classics",2006
"Extraordinary Conquerer","Classics",2006
"Frost Head","Classics",2006
"Galaxy Sweethearts","Classics",2006
"Gilbert Pelican","Classics",2006
"Gilmore Boiled","Classics",2006
"Holy Tadpole","Classics",2006
"Hope Tootsie","Classics",2006
"Hyde Doctor","Classics",2006
"Iron Moon","Classics",2006
"Island Exorcist","Classics",2006
"Jeepers Wedding","Classics",2006
"Jeopardy Encino","Classics",2006
"Jerk Paycheck","Classics",2006
"Jingle Sagebrush","Classics",2006
"League Hellfighters","Classics",2006
"Lights Deer","Classics",2006
"Loathing Legally","Classics",2006
"Lovely Jingle","Classics",2006
"Lover Truman","Classics",2006
"Magnificent Chitty","Classics",2006
"Malkovich Pet","Classics",2006
"Million Ace","Classics",2006
"Musketeers Wait","Classics",2006
"October Submarine","Classics",2006
"Pajama Jawbreaker","Classics",2006
"Patient Sister","Classics",2006
"Prejudice Oleander","Classics",2006
"Requiem Tycoon","Classics",2006
"Right Cranes","Classics",2006
"Roots Remember","Classics",2006
"Sling Luke","Classics",2006
"Snatchers Montezuma","Classics",2006
"Spiking Element","Classics",2006
"Steel Santa","Classics",2006
"Summer Scarface","Classics",2006
"Tadpole Park","Classics",2006
"Timberland Sky","Classics",2006
"Tomorrow Hustler","Classics",2006
"Towers Hurricane","Classics",2006
"Volume House","Classics",2006
"Voyage Legally","Classics",2006
"Wasteland Divine","Classics",2006
"Westward Seabiscuit","Classics",2006
